,z,t,dtdz
0,0.0,158.0,1443565.6748449893
1,0.01,159.58792639929862,0.000524246100034169
2,0.02,161.19181172422702,0.0005313687975513427
3,0.03,162.81181636465735,0.0005356940868110371
4,0.04,164.4481023223995,0.0005415523350730275
5,0.05,166.10083322741372,0.0005480762529972139
